"";"Revenue";"Other Revenue, Total";"Total Revenue";"Cost of Revenue, Total";"Gross Profit";"Selling/General/Admin. Expenses, Total";"Research & Development";"Depreciation/Amortization";"Interest Expense(Income) - Net Operating";"Unusual Expense (Income)";"Other Operating Expenses, Total";"Total Operating Expense";"Operating Income";"Interest Income(Expense), Net Non-Operating";"Gain (Loss) on Sale of Assets";"Other, Net";"Income Before Tax";"Income After Tax";"Minority Interest";"Equity In Affiliates";"Net Income Before Extra. Items";"Accounting Change";"Discontinued Operations";"Extraordinary Item";"Net Income";"Preferred Dividends";"Income Available to Common Excl. Extra Items";"Income Available to Common Incl. Extra Items";"Basic Weighted Average Shares";"Basic EPS Excluding Extraordinary Items";"Basic EPS Including Extraordinary Items";"Dilution Adjustment";"Diluted Weighted Average Shares";"Diluted EPS Excluding Extraordinary Items";"Diluted EPS Including Extraordinary Items";"Dividends per Share - Common Stock Primary Issue";"Gross Dividends - Common Stock";"Net Income after Stock Based Comp. Expense";"Basic EPS after Stock Based Comp. Expense";"Diluted EPS after Stock Based Comp. Expense";"Depreciation, Supplemental";"Total Special Items";"Normalized Income Before Taxes";"Effect of Special Items on Income Taxes";"Income Taxes Ex. Impact of Special Items";"Normalized Income After Taxes";"Normalized Income Avail to Common";"Basic Normalized EPS";"Diluted Normalized EPS";"EndPeriod";"StartPeriod";"Company";"YearAvgPrice";"YearAvgPrice1QAfterStartPeriod";"YearAvgPrice2QAfterStartPeriod";"YearAvgPrice3QAfterStartPeriod";"YearAvgPrice4QAfterStartPeriod"
"2015-09-26";233715;NA;233715;140089;93626;14329;8067;NA;NA;NA;NA;162485;71230;NA;NA;-903;72515;53394;NA;NA;53394;NA;NA;NA;53394;NA;53394;53394;NA;NA;NA;NA;5793,07;9,22;NA;1,98;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;9,22;2015-09-26;2014-09-28;"AAPL";2,62043824701195;2,61235059760956;2,53584;2,45824701195219;2,41746113989637
"2014-09-27";182795;NA;182795;112258;70537;11993;6041;NA;NA;NA;NA;130292;52503;NA;NA;-311;53483;39510;NA;NA;39510;NA;NA;NA;39510;NA;39510;39510;NA;NA;NA;0;6122,66;6,45;NA;1,82;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;6,45;2014-09-27;2013-09-29;"AAPL";3,77191235059761;3,43486055776892;2,93860557768924;2,72717131474104;2,62043824701195
"2013-09-28";170910;NA;170910;106606;64304;10830;4475;NA;NA;NA;NA;121911;48999;NA;NA;-24;50155;37037;NA;NA;37037;NA;NA;NA;37037;NA;37037;37037;NA;NA;NA;0;6521,5;5,68;NA;1,63;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;5,68;2013-09-28;2012-09-30;"AAPL";2,94293172690763;3,31139442231076;3,68829365079365;3,80749003984064;3,77191235059761
"2012-09-29";156508;NA;156508;87846;68662;10040;3381;NA;NA;NA;NA;101267;55241;NA;NA;-566;55763;41733;NA;NA;41733;NA;NA;NA;41733;NA;41733;41733;NA;NA;NA;NA;6617,48;6,31;NA;0,38;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;6,31;2012-09-29;NA;"AAPL";NA;NA;NA;NA;NA
"2015-12-31";0;NA;0;NA;NA;0,39;NA;NA;NA;0;NA;0,39;-0,39;NA;NA;NA;-0,34;-0,34;NA;NA;-0,34;NA;NA;NA;-0,34;NA;-0,34;-0,34;NA;NA;NA;0;1,85;-0,18;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-0,18;2015-12-31;2015-01-01;"TFSCU";2,61218253968254;2,52784860557769;2,4525;2,42068783068783;2,37330708661417
"2014-12-31";0;NA;0;NA;NA;0,2;NA;NA;NA;0;NA;0,2;-0,2;NA;NA;NA;-0,19;-0,19;NA;NA;-0,19;NA;NA;NA;-0,19;NA;-0,19;-0,19;NA;NA;NA;0;1,58;-0,12;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-0,12;2014-12-31;NA;"TFSCU";NA;NA;NA;NA;NA
"2015-12-311";NA;NA;27,13;NA;NA;7,25;NA;NA;NA;NA;5,7;29,47;-2,34;NA;NA;NA;-2,34;-1,67;NA;NA;-1,67;NA;NA;NA;-1,67;NA;-1,67;-1,67;NA;NA;NA;NA;6,29;-0,27;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-0,27;2015-12-31;2015-01-01;"PIH";2,61218253968254;2,52784860557769;2,4525;2,42068783068783;2,37330708661417
"2014-12-311";NA;NA;18,96;NA;NA;5,09;NA;NA;NA;NA;NA;13,24;5,73;NA;NA;NA;5,73;3,65;NA;NA;3,65;NA;NA;NA;3,65;NA;3,15;3,15;NA;NA;NA;NA;4,45;0,71;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0,71;2014-12-31;2014-01-01;"PIH";3,42297619047619;2,9259126984127;2,72484126984127;2,61353174603175;2,61237154150198
"2013-12-31";NA;NA;5,04;NA;NA;1,81;NA;NA;NA;NA;0,07;6,24;-1,19;NA;NA;NA;-1,14;-0,75;NA;NA;-0,75;NA;NA;NA;-0,75;NA;-0,75;-0,75;NA;NA;NA;0;3,55;-0,21;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-0,21;2013-12-31;2013-01-01;"PIH";3,31936507936508;3,69553359683794;3,80575396825397;3,75960317460317;3,42446640316206
"2012-12-31";NA;NA;0,35;NA;NA;0,47;NA;NA;NA;NA;NA;0,54;-0,2;NA;NA;NA;-0,18;-0,12;NA;NA;-0,12;NA;NA;NA;-0,12;NA;-0,12;-0,12;NA;NA;NA;0;3,55;-0,03;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-0,03;2012-12-31;NA;"PIH";NA;NA;NA;NA;NA
"2015-06-28";1121,51;NA;1121,51;634,31;487,19;385,71;34,74;29,12;NA;NA;NA;1083,89;37,62;NA;NA;NA;30,31;19,38;0,9;NA;20,29;NA;NA;NA;20,29;NA;20,29;20,29;NA;NA;NA;NA;67,6;0,3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0,3;2015-06-28;2014-06-30;"FLWS";2,72717131474104;2,62043824701195;2,61235059760956;2,53344;2,45769841269841
"2014-06-29";756,35;NA;756,35;440,67;315,67;249,6;22,52;19,85;NA;NA;NA;732,64;23,71;NA;NA;NA;22,35;13,95;0,7;NA;14,64;NA;NA;NA;15,37;NA;14,64;15,37;NA;NA;NA;0;66,46;0,22;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0,22;2014-06-29;2013-07-01;"FLWS";3,80749003984064;3,77191235059761;3,43486055776892;2,93254980079681;2,72777777777778
"2013-06-30";735,5;NA;735,5;430,31;305,19;238,91;21,7;18,8;NA;0;NA;709,71;25,79;NA;NA;NA;24,8;15,72;NA;NA;15,72;NA;NA;NA;12,32;NA;15,72;12,32;NA;NA;NA;NA;66,79;0,24;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0,24;2013-06-30;2012-07-02;"FLWS";3,04068273092369;2,94293172690763;3,31139442231076;3,69281746031746;3,80511904761905
"2012-07-01";707,52;NA;707,52;414,94;292,58;232,67;20,43;19,54;NA;-3,79;NA;683,79;23,73;NA;NA;NA;21,09;13,32;NA;NA;13,32;NA;NA;NA;17,65;NA;13,32;17,65;NA;NA;NA;NA;66,24;0,2;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0,16;2012-07-01;NA;"FLWS";NA;NA;NA;NA;NA
"2015-12-312";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;4,5;2,55;NA;NA;2,55;NA;NA;NA;2,55;NA;2,55;2,55;NA;NA;NA;NA;9,86;0,26;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0,26;2015-12-31;2015-01-01;"FCTY";2,61218253968254;2,52784860557769;2,4525;2,42068783068783;2,37330708661417
"2014-12-312";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;4,26;2,36;NA;NA;2,36;NA;NA;NA;2,36;NA;2,36;2,36;NA;NA;NA;NA;9,74;0,24;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0,24;2014-12-31;2014-01-01;"FCTY";3,42297619047619;2,9259126984127;2,72484126984127;2,61353174603175;2,61237154150198
"2013-12-311";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3,8;6,86;NA;NA;6,86;NA;NA;NA;6,86;NA;6,86;6,86;NA;NA;NA;NA;9,08;0,76;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0,76;2013-12-31;2013-01-01;"FCTY";3,31936507936508;3,69553359683794;3,80575396825397;3,75960317460317;3,42446640316206
"2012-12-311";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3,05;2,94;NA;NA;2,94;NA;NA;NA;2,94;NA;2,94;2,94;NA;NA;NA;NA;8,79;0,33;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0,33;2012-12-31;NA;"FCTY";NA;NA;NA;NA;NA
"2015-12-313";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;12,73;8,66;NA;NA;8,66;NA;NA;NA;8,66;NA;8,66;8,66;NA;NA;NA;NA;8,48;1,02;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1,02;2015-12-31;2015-01-01;"FCCY";2,61218253968254;2,52784860557769;2,4525;2,42068783068783;2,37330708661417
